,playlist_name,followers,songs,Songs (Capped),genre_1,genre_2,playlist_uri,track_uri,popularity,artist_name,song_name
0,,,,,,,spotify:playlist:37i9dQZF1DXdTCdwCKzXwo,spotify:track:3PG7BAJG9WkmNOJOlc4uAo,62,The Velvet Underground,Femme Fatale
0,,,,,,,spotify:playlist:37i9dQZF1DXdTCdwCKzXwo,spotify:track:6ITuEsxEy2qPhqMowdDAeI,65,The Clash,Train in Vain (Stand by Me) - Remastered
0,,,,,,,spotify:playlist:37i9dQZF1DXdTCdwCKzXwo,spotify:track:0WQiDwKJclirSYG9v5tayI,78,The Smiths,There Is a Light That Never Goes Out - 2011 Remaster
0,,,,,,,spotify:playlist:37i9dQZF1DXdTCdwCKzXwo,spotify:track:1FvDJ9KGxcqwv1utyPL3JZ,76,The Smiths,This Charming Man - 2011 Remaster
0,,,,,,,spotify:playlist:37i9dQZF1DXdTCdwCKzXwo,spotify:track:1LzNfuep1bnAUR9skqdHCK,78,Mazzy Star,Fade Into You
0,,,,,,,spotify:playlist:37i9dQZF1DXdTCdwCKzXwo,spotify:track:6hHc7Pks7wtBIW8Z6A0iFq,71,New Order,Blue Monday
0,,,,,,,spotify:playlist:37i9dQZF1DXdTCdwCKzXwo,spotify:track:7wCmS9TTVUcIhRalDYFgPy,77,Pixies,Where Is My Mind? - Remastered
0,,,,,,,spotify:playlist:37i9dQZF1DXdTCdwCKzXwo,spotify:track:15049rGLXHwrWtE4euUb5C,60,Echo & the Bunnymen,The Killing Moon
0,,,,,,,spotify:playlist:37i9dQZF1DXdTCdwCKzXwo,spotify:track:2Cdvbe2G4hZsnhNMKyGrie,77,Joan Jett & the Blackhearts,I Love Rock 'N Roll
0,,,,,,,spotify:playlist:37i9dQZF1DXdTCdwCKzXwo,spotify:track:3EYOJ48Et32uATr9ZmLnAo,77,The Police,Roxanne
0,,,,,,,spotify:playlist:37i9dQZF1DXdTCdwCKzXwo,spotify:track:1i6N76fftMZhijOzFQ5ZtL,76,Talking Heads,Psycho Killer - 2005 Remaster
0,,,,,,,spotify:playlist:37i9dQZF1DXdTCdwCKzXwo,spotify:track:3L7RtEcu1Hw3OXrpnthngx,76,The Human League,Don't You Want Me
