,Playlist,Followers,Songs,Genre_1,Genre_2,URI,Song_URI,Popularity,Artist_Name,Song_Name
0,It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:0skYUMpS0AcbpjcGsAbRGj,88,BLACKPINK,Pink Venom
1,It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:7up4SX2l8FAnisrUXoGupd,70,Lukas Graham,Wish You Were Here (feat. Khalid)
2,It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:4C6Uex2ILwJi9sZXRdmqXp,89,Nicki Minaj,Super Freaky Girl
3,It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:0xzI1KAr0Yd9tv8jlIk3sn,90,benny blanco,Bad Decisions (with BTS & Snoop Dogg)
4,It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:5rbuv6zso7QSaKt265H3M3,76,NIKI,High School in Jakarta
5,It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:1elhmWW7Bv0MOQj2gAsyoV,72,Zedd,Make You Say
6,It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:6Iqz3QB6zSdn1N61acinau,70,Aitch,My G (feat. Ed Sheeran)
7,It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:1w3azB0VuRFp79AduIwrIy,75,Paul Partohap,P.S. I LOVE YOU
8,It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:7DByUXWmz1lQau0HLmdg1v,72,Anitta,Lobby
9,It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:3gXWe15nwrjfhjYQ5RqLx7,72,Demi Lovato,29
10,It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:1FfczxFNfvUSwEz5lHswm0,56,Maximillian,I'm Not Me
11,It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:2zz4plJxtgMIsQg5SMl2Bg,68,NIKI,Keeping Tabs
12,It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:0b5CzUhyShYuDdtW5J4wm2,78,Calvin Harris,Obsessed (with Charlie Puth & Shenseea)
13,It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:6bTbMMEShyGyrcuIwtBlpA,68,Bella Poarch,Living Hell
14,It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:3aUD2nXnCYiGd9V1UhfyRz,73,Lauv,Stranger
15,It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:3mWUqIz228lrdC5ZSkpjUG,74,Rex Orange County,THREAT
16,It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:22PTmk4mzAVi92WiQPAcFp,74,Calvin Harris,"New To You (with Normani, Tinashe, & Offset)"
17,It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5,spotify:track:0mBP9X2gPCuapvpZ7TGDk3,94,Charlie Puth,Left and Right (Feat. Jung Kook of BTS)
