,Playlist,Followers,Songs,Genre 1,Genre 2,URI,Song URI,Popularity,Artist Name,Song Name
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:2TSfStvlAMLw89u3tali79,79,Nardo Wick,Dah Dah DahDah
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:6wyhUr4Xw8z5uSy0AhoZfU,78,Future,I'M ON ONE (feat. Drake)
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:3GdWfmQBiiJrDUvSZS1bGv,82,NAV,Never Sleep (with Lil Baby feat. Travis Scott)
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:0g2Bbgy7P41pFjMWJuzsf4,87,DJ Khaled,STAYING ALIVE (feat. Drake & Lil Baby)
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:5cx7vkF8BQ0iOsVpfvZbnz,78,SleazyWorld Go,Sleazy Flow (with Lil Baby) - Remix
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:32ny2YtiR7zKi7PBjiQ5Iy,75,Roddy Ricch,Real Talk
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:6ws54n2IzyrIxxyzlG2bVJ,77,Lil Baby,Right On
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:02Cj2MSlERvamTj5A7Zi0P,75,YoungBoy Never Broke Again,Vette Motors
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:1FayZGI8Bm3R0sKWNsm1gV,59,The Game,"Talk To Me Nice (Feat. Meek Mill, Moneybagg Yo & Blxst)"
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:3F5CgOj3wFlRv51JsHbxhe,91,Drake,Jimmy Cooks (feat. 21 Savage)
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:6x3gud5JkOSGYJpRUYN1Gg,74,Quavo,Us vs. Them (feat. Gucci Mane)
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:53wBhj706wDMNuBj4FJ0RI,66,Future,CHICKENS (feat. EST Gee)
49,Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,spotify:track:6I5DkMtgMjN6k270nRwNEl,71,DaBaby,WAITRESS
