,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity
0,0.236,0.892,2,-4.106,0,0.188,0.0305,0.0,0.278,0.0685,184.981,279227,4,62
1,0.364,0.912,7,-2.968,1,0.107,0.000104,0.0025,0.086,0.666,105.368,189200,4,58
2,0.182,0.979,5,-3.598,1,0.445,0.000116,0.0411,0.163,0.0843,150.174,314000,4,34
3,0.249,0.66,0,-6.905,1,0.0342,0.504,0.0026,0.0891,0.435,149.813,248947,4,68
4,0.585,0.832,6,-3.791,1,0.0394,0.281,0.000322,0.0822,0.544,147.978,187387,4,39
5,0.833,0.716,9,-11.265,1,0.04,0.533,0.0,0.058,0.9,104.8,186627,4,51
6,0.0621,0.0345,1,-30.625,1,0.0532,0.662,0.0092,0.119,0.0558,65.193,277720,4,40
7,0.359,0.828,3,-3.173,1,0.0787,2.37e-05,0.0312,0.115,0.288,144.984,312000,4,59
8,0.383,0.97,9,-5.638,1,0.0435,0.0276,0.0,0.0942,0.62,101.603,313926,4,66
9,0.751,0.703,9,-5.687,1,0.0287,0.368,0.00123,0.196,0.907,97.931,185960,4,61
10,0.524,0.982,6,-2.865,0,0.126,0.0092,0.126,0.328,0.662,122.916,191240,4,45
11,0.82,0.574,5,-6.526,0,0.111,0.0528,0.000372,0.159,0.423,97.934,215880,4,33
12,0.793,0.703,0,-9.548,1,0.0581,0.000726,0.88,0.075,0.856,130.27,450800,4,63
13,0.346,0.974,11,-3.849,0,0.223,0.000519,0.00449,0.0326,0.326,117.287,204542,4,49
14,0.589,0.388,4,-9.755,1,0.0305,0.698,0.0,0.0902,0.364,78.883,220309,4,44
15,0.332,0.951,2,-5.996,1,0.0846,0.000211,0.000135,0.154,0.226,94.614,239517,4,49
16,0.39,0.694,7,-11.783,1,0.0399,0.00299,0.304,0.0757,0.795,115.197,235707,4,57
17,0.26,0.723,4,-7.566,0,0.0387,0.00298,0.0551,0.317,0.0785,130.073,330829,4,34
18,0.353,0.976,6,-2.325,0,0.0525,0.000388,0.00157,0.359,0.579,172.1,230480,4,37
19,0.369,0.258,6,-10.398,1,0.0331,0.937,7.04e-05,0.108,0.21,127.502,279193,4,20
20,0.644,0.939,11,-3.486,0,0.0456,0.157,0.0,0.233,0.861,106.031,208107,4,75
21,0.239,0.614,4,-9.819,1,0.0773,0.0904,0.403,0.129,0.47,155.658,140413,3,61
22,0.409,0.952,2,-3.761,0,0.0756,1.23e-05,0.000156,0.31,0.55,80.899,203693,4,55
23,0.522,0.85,7,-4.769,1,0.0361,0.132,0.0338,0.295,0.71,124.216,346280,4,60
24,0.478,0.576,8,-7.671,0,0.0452,0.402,0.0598,0.154,0.384,116.326,184000,5,35
25,0.726,0.537,0,-8.896,1,0.114,0.316,0.0,0.0707,0.882,96.889,145707,4,70
26,0.398,0.89,1,-2.248,0,0.0473,0.0252,0.0,0.0472,0.572,95.095,212938,4,67
27,0.746,0.587,9,-8.214,1,0.0528,0.273,0.0,0.0305,0.804,98.974,165813,4,40
28,0.519,0.337,2,-15.215,1,0.0333,0.887,0.0113,0.13,0.523,87.926,196133,4,63
29,0.568,0.272,6,-12.719,1,0.0321,0.991,0.891,0.0916,0.29,116.978,279840,4,63
30,0.489,0.788,10,-11.654,1,0.0452,0.176,7.98e-05,0.196,0.88,165.877,179507,4,51
31,0.243,0.0502,2,-25.496,1,0.0501,0.941,0.82,0.126,0.064,125.052,151760,4,50
32,0.644,0.919,2,-6.289,1,0.0561,0.181,0.134,0.622,0.871,117.459,259907,4,68
33,0.194,0.0269,5,-34.472,1,0.0413,0.993,0.963,0.0626,0.137,171.966,150907,4,37
34,0.491,0.87,2,-5.31,1,0.136,0.00177,0.0,0.517,0.532,163.268,179987,4,53
35,0.608,0.56,1,-9.952,0,0.038,0.229,0.0669,0.113,0.139,121.89,208032,3,10
36,0.488,0.962,11,-3.268,0,0.114,3.27e-05,0.0248,0.0679,0.171,105.002,263192,4,41
37,0.254,0.0744,5,-23.509,1,0.043,0.817,0.655,0.109,0.156,79.182,293872,3,42
