,Playlist,Followers,Songs,Genre 1,Genre 2,URI,Song URI,Popularity,Artist Name,Song Name
61,The Core,"868,093",75,Metal,Rock,spotify:playlist:37i9dQZF1DWXIcbzpLauPS,spotify:track:2tpiHcSSFCnpIH8HFzIUEa,48,Bleed From Within,Stand Down
61,The Core,"868,093",75,Metal,Rock,spotify:playlist:37i9dQZF1DWXIcbzpLauPS,spotify:track:4f1Bxzgor1HNbdm2kGl8mL,56,Bullet For My Valentine,This Means War
61,The Core,"868,093",75,Metal,Rock,spotify:playlist:37i9dQZF1DWXIcbzpLauPS,spotify:track:5TcdxibMGG4QVSW4H2ELpO,66,Electric Callboy,Fuckboi (feat. Conquer Divide)
61,The Core,"868,093",75,Metal,Rock,spotify:playlist:37i9dQZF1DWXIcbzpLauPS,spotify:track:2YriJLI67y3fYH3KHX29jM,47,Spite,Dedication To Flesh
61,The Core,"868,093",75,Metal,Rock,spotify:playlist:37i9dQZF1DWXIcbzpLauPS,spotify:track:5l4DU5tgUtLqFSxir6y0dp,63,Asking Alexandria,Faded Out (feat. Within Temptation)
61,The Core,"868,093",75,Metal,Rock,spotify:playlist:37i9dQZF1DWXIcbzpLauPS,spotify:track:7wwFeAgaC2pGqJaTuCVFAw,59,Arch Enemy,The Watcher
61,The Core,"868,093",75,Metal,Rock,spotify:playlist:37i9dQZF1DWXIcbzpLauPS,spotify:track:73QoCfWJJWbRYmm5nCH5Y2,63,Motionless In White,Sign Of Life
61,The Core,"868,093",75,Metal,Rock,spotify:playlist:37i9dQZF1DWXIcbzpLauPS,spotify:track:3jVZdrq596QrH6xq4l6jgI,50,Norma Jean,A Killing Word
61,The Core,"868,093",75,Metal,Rock,spotify:playlist:37i9dQZF1DWXIcbzpLauPS,spotify:track:5Ve3eqZmguw75vcY7iwwZY,58,The Devil Wears Prada,Salt
61,The Core,"868,093",75,Metal,Rock,spotify:playlist:37i9dQZF1DWXIcbzpLauPS,spotify:track:7vEfK1zL7FF5SVy4s1sYUC,55,We Came As Romans,Plagued
61,The Core,"868,093",75,Metal,Rock,spotify:playlist:37i9dQZF1DWXIcbzpLauPS,spotify:track:0WcS5eAg9byayXJFZ75eEi,55,Solence,Rain Down
