,Playlist,Followers,Songs,Genre 1,Genre 2,URI,Song URI,Popularity,Artist Name,Song Name
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:2bi50NN02pkUKLKphROHd9,64,Demi Lovato,CITY OF ANGELS
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:6uEBUvGjFsoVdEf775Coa3,60,Waterparks,SELF-SABOTAGE
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:5JFYTUEMFKVJafHr4S89kr,51,Magnolia Park,I should've listened to my friends
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:3WcZqa5zOjq3FnEBZCriMw,41,Story Of The Year,Real Life
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:4EAEKqmrkfA7WFfeBAvDZi,47,Dear Youth,Juice
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:2lHktSigIAZqf7BkA7NRS7,60,Avril Lavigne,Bois Lie (feat. Machine Gun Kelly)
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:1SvWcEk0BXuOmQp25PThtR,13,Games We Play,Get A Job
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:3FSxSPFLwvVUMjTjFo9Von,50,Ryan Oakes,THE AMERICAN DREAM
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:0g4Nl4tH0jef0wApjV5sfH,55,Simple Plan,Ruin My Life (feat. Deryck Whibley)
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:40FJkZzaY8DWGtYoCB63EE,58,State Champs,Everybody but You
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:5w4nlSCMfNT2TdopSd0Lmu,48,WHOKILLEDXIX,ATTENTION!
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:6jhBI8HZ1qxetz13hjL1PE,56,Maggie Lindemann,how could you do this to me? feat. Kellin Quinn from Sleeping With Sirens
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:6dfwRetlyLPBoQzdufbOWj,70,Avril Lavigne,Bite Me
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:3Vt3KkESJwfVyIJmB5Gcx0,30,The Early November,Denent
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:54BhHvjtrz2eqGomjZK9mg,42,Ty Arena$,Six Feet Under
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:4Oqkl7HhomsKtZ0uLmN1H7,48,Fran Roz,DOUBTS (feat. Ryan Oakes)
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:43YhUeHATriN0vyiEZUZ82,45,Youth Fountain,Light Switch
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:5NWyhQjPTh37ygOq4UHYZk,51,Said The Sky,Emotion Sickness
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:29GKyMCkBY2Kc7M2VcAZJE,59,Taylor Acorn,Psycho
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:3h8L8qrK6GzE5JoHjOU9Oz,43,Yours Truly,Careless Kind
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:0ZesMib2ggF1jXaMM7SNlW,43,Cartel,The End
